"","municipality","year","period","treatment","newspaper desert","status","province","id","CSD code","turnout","number of candidates","daily_free_paper_closure","weekly_paper_closure","acclaimed","place","margin_percent","closure","closure_count","first_closure","na","treat_group","t","timetotreat","census_year","Population","Density","delta","CD_UID","PR_UID"
"30","Belleville",2018,2018,1,0,-1,"Ontario","3512005_2018",3512005,42.3,4,NA,NA,0,1,0.10592496412219,TRUE,1,TRUE,0,1,2,0,2016,50716,202.718277993047,0,"3512","35"
"31","Blainville",2005,0,0,0,0,"Quebec","2473015_2005",2473015,49.13,2,NA,NA,0,1,0.0761142705991271,FALSE,1,FALSE,0,0,1,-4,2006,46493,839.099324973804,0,"2473","24"
"32","Blainville",2009,0,0,0,0,"Quebec","2473015_2009",2473015,40.21,2,NA,NA,0,1,0.436144232150553,FALSE,2,FALSE,0,0,1,-3,2011,53510,965.740835659101,0,"2473","24"
"33","Blainville",2013,0,0,0,0,"Quebec","2473015_2013",2473015,46.1,2,NA,NA,0,1,0.177972775340308,FALSE,3,FALSE,0,0,1,-2,2011,53510,965.740835659101,0,"2473","24"
"34","Blainville",2017,0,0,0,0,"Quebec","2473015_2017",2473015,38.57,2,NA,NA,0,1,0.505997279584518,FALSE,4,FALSE,0,0,1,-1,2016,56863,1025.20323590871,0,"2473","24"
"35","Brampton",2006,0,0,0,0,"Ontario","3521010_2006",3521010,30.8,5,NA,NA,0,1,0.672640416493843,FALSE,1,FALSE,0,0,1,-4,2006,433806,1614.67032390516,0,"3521","35"
"36","Brampton",2010,0,0,0,0,"Ontario","3521010_2010",3521010,33.1,5,NA,NA,0,1,0.320787720822473,FALSE,2,FALSE,0,0,1,-3,2011,523911,1955.46208550971,0,"3521","35"
"37","Brampton",2014,0,0,0,0,"Ontario","3521010_2014",3521010,36.2,14,NA,NA,0,1,0.362896617436875,FALSE,3,FALSE,0,0,1,-2,2016,593638,2215.82310711449,0,"3521","35"
"38","Brampton",2018,0,0,0,0,"Ontario","3521010_2018",3521010,34.5,7,NA,NA,0,1,0.0360969741833996,FALSE,4,FALSE,0,0,1,-1,2016,593638,2215.82310711449,0,"3521","35"
"39","Brantford",2003,0,0,0,0,"Ontario","3529006_2003",3529006,34.98,3,NA,NA,0,1,NA,FALSE,1,FALSE,1,0,1,-5,2001,86417,1202.8994830142,0,"3529","35"
"40","Brantford",2006,0,0,0,0,"Ontario","3529006_2006",3529006,44.54,4,NA,NA,0,1,NA,FALSE,2,FALSE,1,0,1,-4,2006,90192,1210.07894654223,0,"3529","35"
"41","Brantford",2010,0,0,0,0,"Ontario","3529006_2010",3529006,43.42,9,NA,NA,0,1,NA,FALSE,3,FALSE,1,0,1,-3,2011,93650,1256.63136380129,0,"3529","35"
"42","Brantford",2014,0,0,0,0,"Ontario","3529006_2014",3529006,37.58,7,NA,NA,0,1,0.172753670606519,FALSE,4,FALSE,0,0,1,-2,2016,97496,1308.65814218758,0,"3529","35"
"43","Brantford",2018,0,0,0,0,"Ontario","3529006_2018",3529006,36.74,8,NA,NA,0,1,0.231523471013605,FALSE,5,FALSE,0,0,1,-1,2016,97496,1308.65814218758,0,"3529","35"
"44","Brossard",2005,0,0,0,0,"Quebec","2458007_2005",2458007,35.75,2,NA,NA,0,1,0.122206628522077,FALSE,1,FALSE,0,0,1,-4,2006,71154,1568.12117247878,0,"2458","24"
"45","Brossard",2009,0,0,0,0,"Quebec","2458007_2009",2458007,39.02,2,NA,NA,0,1,0.406141094471131,FALSE,2,FALSE,0,0,1,-3,2011,79273,1747.0506550586,0,"2458","24"
"46","Brossard",2013,0,0,0,0,"Quebec","2458007_2013",2458007,34.5,2,NA,NA,0,1,0.304905127169964,FALSE,3,FALSE,0,0,1,-2,2011,79273,1747.0506550586,0,"2458","24"
"47","Brossard",2017,0,0,0,0,"Quebec","2458007_2017",2458007,37.69,3,NA,NA,0,1,0.133670268386197,FALSE,4,FALSE,0,0,1,-1,2016,85721,1888.09157181349,0,"2458","24"
"48","Burlington",2003,0,0,0,0,"Ontario","3524002_2003",3524002,16.55,1,NA,NA,1,1,NA,FALSE,1,FALSE,1,0,1,-5,2001,150836,809.086182115179,0,"3524","35"
"49","Burlington",2006,0,0,0,0,"Ontario","3524002_2006",3524002,38.84,5,NA,NA,0,1,0.0290392052428039,FALSE,2,FALSE,0,0,1,-4,2006,164415,875.860871646043,0,"3524","35"
"50","Burlington",2010,0,0,0,0,"Ontario","3524002_2010",3524002,37.6,4,NA,NA,0,1,0.230167940268442,FALSE,3,FALSE,0,0,1,-3,2011,175779,936.828772329487,0,"3524","35"
"51","Burlington",2014,0,0,0,0,"Ontario","3524002_2014",3524002,34.14,3,NA,NA,0,1,0.776722201422688,FALSE,4,FALSE,0,0,1,-2,2016,183314,976.987180327614,0,"3524","35"
"52","Burlington",2018,0,0,0,0,"Ontario","3524002_2018",3524002,39.79,4,NA,NA,0,1,0.128946904215911,FALSE,5,FALSE,0,0,1,-1,2016,183314,976.987180327614,0,"3524","35"
"53","Burnaby",2002,2018,0,0,0,"British Columbia","5915025_2002",5915025,33.38,3,NA,NA,0,1,0.231710021862425,FALSE,1,FALSE,0,1,1,-5,2001,193954,2149.10140282078,0,"5915","59"
"54","Burnaby",2005,2018,0,0,0,"British Columbia","5915025_2005",5915025,25.57,3,NA,NA,0,1,0.110193655696804,FALSE,2,FALSE,0,1,1,-4,2006,202799,2215.46170482367,0,"5915","59"
"55","Burnaby",2008,2018,0,0,0,"British Columbia","5915025_2008",5915025,23.49,2,NA,NA,0,1,0.313349833470835,FALSE,3,FALSE,0,1,1,-3,2006,202799,2215.46170482367,0,"5915","59"
"56","Burnaby",2011,2018,0,0,0,"British Columbia","5915025_2011",5915025,22.5,4,NA,NA,0,1,0.575965917437932,FALSE,4,FALSE,0,1,1,-2,2011,223218,2427.45649499416,0,"5915","59"
"57","Burnaby",2014,2018,0,0,0,"British Columbia","5915025_2014",5915025,27,6,NA,NA,0,1,0.464283992866439,FALSE,5,FALSE,0,1,1,-1,2016,232755,2531.15290205807,0,"5915","59"
"58","Burnaby",2018,2018,1,0,-1,"British Columbia","5915025_2018",5915025,33.46,3,NA,NA,0,1,0.481909869526935,TRUE,1,TRUE,0,1,2,0,2016,232755,2531.15290205807,0,"5915","59"
"59","Caledon",2003,0,0,0,0,"Ontario","3521024_2003",3521024,32.91,4,NA,NA,0,1,NA,FALSE,1,FALSE,1,0,1,-5,2001,50595,72.8523517296004,0,"3521","35"
