mun_c,mun_n,reg_c,reg_n,arr_c,dist_n,arr_n,poste_c,type_poste_c,type_poste_d,nom,prenom,sexe,sortant,parti_n,nb_electeurs_maire,nb_votes_candidat,nb_votes_rejetes,statut_candidat_d
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Gladyszewski,Dominique,F,Nouveau,,10354,1444,150,Non élu
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Lapierre,Jonathan,M,Sortant,,10354,4117,150,Élu
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,L'Île-du-Havre-Aubert,,1,C,Conseiller,Chevrier,Léonard,M,Nouveau,,10354,79,19,Non élu
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,L'Île-du-Havre-Aubert,,1,C,Conseiller,Gray,James,M,Nouveau,,10354,77,19,Non élu
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,L'Île-du-Havre-Aubert,,1,C,Conseiller,Leblanc,Germain,M,Sortant,,10354,325,19,Non élu
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,L'Île-du-Havre-Aubert,,1,C,Conseiller,Leblanc,Suzie,F,Nouveau,,10354,436,19,Élu
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,L'Étang-du-Nord,,2,C,Conseiller,Déraspe,Léon,M,Sortant,,10354,592,27,Non élu
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,L'Étang-du-Nord,,2,C,Conseiller,Déraspe,Jean-Philippe,M,Nouveau,,10354,892,27,Élu
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,Cap-aux-Meules,,3,C,Conseiller,Leblanc,Richard,M,Sortant,,10354,0,,Élu sans opposition
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,Fatima,,4,C,Conseiller,Chevarie,Roger,M,Sortant,,10354,0,,Élu sans opposition
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,Havre-aux-Maisons,,5,C,Conseiller,Chevrier,Hélène,F,Nouveau,,10354,443,9,Non élu
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,Havre-aux-Maisons,,5,C,Conseiller,Langford,Kaven,M,Nouveau,,10354,42,9,Non élu
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,Havre-aux-Maisons,,5,C,Conseiller,Arseneau,Benoît,M,Nouveau,,10354,546,9,Élu
1023,Les Îles-de-la-Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,Grande-Entrée,,6,C,Conseiller,Richard,Gaétan,M,Sortant,,10354,0,,Élu sans opposition
1042,Grosse-Île,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,CLARKE,ROSE ELMONDE,F,Sortant,,397,0,,Élu sans opposition
1042,Grosse-Île,11,Gaspésie--Îles-de-la-Madeleine,,,,1,C,Conseiller,BURKE,WILLIAM,M,Nouveau,,397,118,3,Non élu
1042,Grosse-Île,11,Gaspésie--Îles-de-la-Madeleine,,,,1,C,Conseiller,CLARKE,MILES,M,Sortant (autre poste),,397,170,3,Élu
1042,Grosse-Île,11,Gaspésie--Îles-de-la-Madeleine,,,,2,C,Conseiller,CLARKE,FELICIA,F,Sortant,,397,0,,Élu sans opposition
1042,Grosse-Île,11,Gaspésie--Îles-de-la-Madeleine,,,,3,C,Conseiller,DAVIES,DIANA JOY,F,Nouveau,,397,114,10,Non élu
1042,Grosse-Île,11,Gaspésie--Îles-de-la-Madeleine,,,,3,C,Conseiller,BOUDREAU,MARLENE,F,Nouveau,,397,167,10,Élu
1042,Grosse-Île,11,Gaspésie--Îles-de-la-Madeleine,,,,4,C,Conseiller,CLARKE,STEVE,M,Sortant,,397,0,,Élu sans opposition
1042,Grosse-Île,11,Gaspésie--Îles-de-la-Madeleine,,,,5,C,Conseiller,BURKE,JULIE ANNE,F,Nouveau,,397,109,2,Non élu
1042,Grosse-Île,11,Gaspésie--Îles-de-la-Madeleine,,,,5,C,Conseiller,CYR,KARINA,F,Nouveau,,397,0,2,Désistement
1042,Grosse-Île,11,Gaspésie--Îles-de-la-Madeleine,,,,5,C,Conseiller,CLARK,NANCY,F,Nouveau,,397,180,2,Élu
1042,Grosse-Île,11,Gaspésie--Îles-de-la-Madeleine,,,,6,C,Conseiller,GOODWIN,JESSICA,F,Sortant (autre poste),,397,0,,Élu sans opposition
2005,Percé,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Arbour,Guillaume,M,Nouveau,,2883,77,12,Non élu
2005,Percé,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Bouchard,Owen,M,Nouveau,,2883,423,12,Non élu
2005,Percé,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Chouinard,J. Alexandre,M,Nouveau,,2883,59,12,Non élu
2005,Percé,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Dubé,Jean Guy,M,Nouveau,,2883,16,12,Non élu
2005,Percé,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Poirier,Cathy,F,Nouveau,,2883,1184,12,Élu
2005,Percé,11,Gaspésie--Îles-de-la-Madeleine,,1,,1,C,Conseiller,Despres,Ludger,M,Nouveau,,2883,33,7,Non élu
2005,Percé,11,Gaspésie--Îles-de-la-Madeleine,,1,,1,C,Conseiller,Bourget,Doris,F,Nouveau,,2883,237,7,Élu
2005,Percé,11,Gaspésie--Îles-de-la-Madeleine,,2,,2,C,Conseiller,Cyr,Fabienne,F,Nouveau,,2883,6,3,Non élu
2005,Percé,11,Gaspésie--Îles-de-la-Madeleine,,2,,2,C,Conseiller,Cyr,Gilbert,M,Nouveau,,2883,95,3,Non élu
2005,Percé,11,Gaspésie--Îles-de-la-Madeleine,,2,,2,C,Conseiller,Lafontaine,Olivier,M,Nouveau,,2883,54,3,Non élu
2005,Percé,11,Gaspésie--Îles-de-la-Madeleine,,2,,2,C,Conseiller,Sheehan,Jerry,M,Nouveau,,2883,97,3,Élu
2005,Percé,11,Gaspésie--Îles-de-la-Madeleine,,3,,3,C,Conseiller,Méthot,Réginald,M,Nouveau,,2883,101,4,Non élu
2005,Percé,11,Gaspésie--Îles-de-la-Madeleine,,3,,3,C,Conseiller,Warren,Magella,M,Sortant,,2883,105,4,Élu
2005,Percé,11,Gaspésie--Îles-de-la-Madeleine,,4,,4,C,Conseiller,Kay,Scott,M,Nouveau,,2883,11,4,Non élu
2005,Percé,11,Gaspésie--Îles-de-la-Madeleine,,4,,4,C,Conseiller,Samson,Roch,M,Nouveau,,2883,47,4,Non élu
2005,Percé,11,Gaspésie--Îles-de-la-Madeleine,,4,,4,C,Conseiller,Cahill-Vibert,Allyson,F,Nouveau,,2883,218,4,Élu
2005,Percé,11,Gaspésie--Îles-de-la-Madeleine,,5,,5,C,Conseiller,Méthot,Michel,M,Sortant,,2883,94,2,Non élu
2005,Percé,11,Gaspésie--Îles-de-la-Madeleine,,5,,5,C,Conseiller,Trudel Vibert,Andréanne,F,Nouveau,,2883,139,2,Élu
2005,Percé,11,Gaspésie--Îles-de-la-Madeleine,,6,,6,C,Conseiller,Bond,Stephanie,F,Nouveau,,2883,73,3,Non élu
2005,Percé,11,Gaspésie--Îles-de-la-Madeleine,,6,,6,C,Conseiller,Réhel,Doris,F,Nouveau,,2883,120,3,Élu
2005,Percé,11,Gaspésie--Îles-de-la-Madeleine,,7,,7,C,Conseiller,Collin,Anita,F,Nouveau,,2883,50,1,Non élu
2005,Percé,11,Gaspésie--Îles-de-la-Madeleine,,7,,7,C,Conseiller,Daniel,Robert,M,Sortant,,2883,135,1,Élu
2005,Percé,11,Gaspésie--Îles-de-la-Madeleine,,8,,8,C,Conseiller,Ste-Croix,Nicolas,M,Nouveau,,2883,0,,Élu sans opposition
2010,Sainte-Thérèse-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Blondin,Roberto,M,Nouveau,,894,0,,Élu sans opposition
2010,Sainte-Thérèse-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,1,,1,C,Conseiller,Doucet,Karine,F,Nouveau,,894,50,,Non élu
2010,Sainte-Thérèse-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,1,,1,C,Conseiller,Lelièvre,Nadine,F,Sortant,,894,85,,Élu
2010,Sainte-Thérèse-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,2,,2,C,Conseiller,Lelièvre,Léo,M,Sortant (autre poste),,894,52,1,Non élu
2010,Sainte-Thérèse-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,2,,2,C,Conseiller,Lebreux,Patrick,M,Nouveau,,894,62,1,Élu
2010,Sainte-Thérèse-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,3,,3,C,Conseiller,Lelièvre,Jean-Louis,M,Nouveau,,894,21,,Non élu
2010,Sainte-Thérèse-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,3,,3,C,Conseiller,Roussy,Réal,M,Sortant,,894,25,,Non élu
2010,Sainte-Thérèse-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,3,,3,C,Conseiller,Desbois,Jacques,M,Nouveau,,894,77,,Élu
2010,Sainte-Thérèse-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,4,,4,C,Conseiller,Vallée,Roland,M,Sortant,,894,0,,Élu sans opposition
2010,Sainte-Thérèse-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,5,,5,C,Conseiller,Couture,Murielle,F,Sortant,,894,0,1,Désistement
2010,Sainte-Thérèse-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,5,,5,C,Conseiller,Duguay,Gaston,M,Nouveau,,894,13,1,Non élu
2010,Sainte-Thérèse-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,5,,5,C,Conseiller,Couture,Jeannot,M,Nouveau,,894,49,1,Élu
2010,Sainte-Thérèse-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,6,,6,C,Conseiller,Roussy,Jacques,M,Sortant,,894,0,,Élu sans opposition
2015,Grande-Rivière,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Cyr,Charles,M,Sortant (autre poste),,2920,519,15,Non élu
2015,Grande-Rivière,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Stevens,Bernard,M,Sortant,,2920,515,15,Non élu
2015,Grande-Rivière,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Cyr,Gino,M,Nouveau,,2920,920,15,Élu
2015,Grande-Rivière,11,Gaspésie--Îles-de-la-Madeleine,,1,,1,C,Conseiller,Moreau,Mario,M,Nouveau,,2920,107,2,Non élu
2015,Grande-Rivière,11,Gaspésie--Îles-de-la-Madeleine,,1,,1,C,Conseiller,Langelier,Valérie,F,Sortant,,2920,163,2,Élu
2015,Grande-Rivière,11,Gaspésie--Îles-de-la-Madeleine,,2,,2,C,Conseiller,Desjardins,Marc,M,Nouveau,,2920,102,3,Non élu
2015,Grande-Rivière,11,Gaspésie--Îles-de-la-Madeleine,,2,,2,C,Conseiller,Méthot,Sylvie,F,Sortant,,2920,87,3,Non élu
2015,Grande-Rivière,11,Gaspésie--Îles-de-la-Madeleine,,2,,2,C,Conseiller,Moreau,Christian,M,Nouveau,,2920,125,3,Élu
2015,Grande-Rivière,11,Gaspésie--Îles-de-la-Madeleine,,3,,3,C,Conseiller,Leblanc,Wilfrid,M,Nouveau,,2920,73,3,Non élu
2015,Grande-Rivière,11,Gaspésie--Îles-de-la-Madeleine,,3,,3,C,Conseiller,Moreau,Didier,M,Nouveau,,2920,80,3,Non élu
2015,Grande-Rivière,11,Gaspésie--Îles-de-la-Madeleine,,3,,3,C,Conseiller,Méthot,Gilles,M,Nouveau,,2920,95,3,Non élu
2015,Grande-Rivière,11,Gaspésie--Îles-de-la-Madeleine,,3,,3,C,Conseiller,Briand,Léopold,M,Nouveau,,2920,109,3,Élu
2015,Grande-Rivière,11,Gaspésie--Îles-de-la-Madeleine,,4,,4,C,Conseiller,Boudreau,Martine,F,Nouveau,,2920,129,7,Non élu
2015,Grande-Rivière,11,Gaspésie--Îles-de-la-Madeleine,,4,,4,C,Conseiller,Nicolas,Lucie,F,Nouveau,,2920,176,7,Élu
2015,Grande-Rivière,11,Gaspésie--Îles-de-la-Madeleine,,5,,5,C,Conseiller,Duguay,Wayne,M,Nouveau,,2920,93,1,Non élu
2015,Grande-Rivière,11,Gaspésie--Îles-de-la-Madeleine,,5,,5,C,Conseiller,Trépanier,Georges,M,Nouveau,,2920,88,1,Non élu
2015,Grande-Rivière,11,Gaspésie--Îles-de-la-Madeleine,,5,,5,C,Conseiller,Leblanc,Gaston,M,Nouveau,,2920,162,1,Élu
2015,Grande-Rivière,11,Gaspésie--Îles-de-la-Madeleine,,6,,6,C,Conseiller,Boutin,Éric,M,Nouveau,,2920,29,6,Non élu
2015,Grande-Rivière,11,Gaspésie--Îles-de-la-Madeleine,,6,,6,C,Conseiller,Beaudin,Denis,M,Sortant,,2920,329,6,Élu
2028,Chandler,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Daraiche,Gilles,M,Sortant (autre poste),,6485,1874,29,Non élu
2028,Chandler,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Langlois,Louisette,F,Sortant,,6485,2273,29,Élu
2028,Chandler,11,Gaspésie--Îles-de-la-Madeleine,,Newport,,1,C,Conseiller,David,Louise,F,Nouveau,,6485,282,5,Non élu
2028,Chandler,11,Gaspésie--Îles-de-la-Madeleine,,Newport,,1,C,Conseiller,Godbout,Bruno-Pierre,M,Nouveau,,6485,589,5,Élu
2028,Chandler,11,Gaspésie--Îles-de-la-Madeleine,,Pabos Mills,,2,C,Conseiller,Blais,Marie-Claire,F,Sortant,,6485,316,3,Non élu
2028,Chandler,11,Gaspésie--Îles-de-la-Madeleine,,Pabos Mills,,2,C,Conseiller,Ritchie,Meggie,F,Nouveau,,6485,471,3,Élu
2028,Chandler,11,Gaspésie--Îles-de-la-Madeleine,,Chandler Ouest,,3,C,Conseiller,Collin,Marie-Josée,F,Nouveau,,6485,353,3,Non élu
2028,Chandler,11,Gaspésie--Îles-de-la-Madeleine,,Chandler Ouest,,3,C,Conseiller,Pelchat,Denis,M,Sortant,,6485,369,3,Élu
2028,Chandler,11,Gaspésie--Îles-de-la-Madeleine,,Chandler Est,,4,C,Conseiller,Leblanc,Raynald,M,Nouveau,,6485,194,78,Non élu
2028,Chandler,11,Gaspésie--Îles-de-la-Madeleine,,Chandler Est,,4,C,Conseiller,Duguay,Richard,M,Sortant,,6485,425,78,Élu
2028,Chandler,11,Gaspésie--Îles-de-la-Madeleine,,Pabos,,5,C,Conseiller,Arsenault,Pierre-Luc,M,Nouveau,,6485,195,1,Non élu
2028,Chandler,11,Gaspésie--Îles-de-la-Madeleine,,Pabos,,5,C,Conseiller,Dea,Christian,M,Sortant,,6485,159,1,Non élu
2028,Chandler,11,Gaspésie--Îles-de-la-Madeleine,,Pabos,,5,C,Conseiller,Vachon,Donald,M,Nouveau,,6485,200,1,Élu
2028,Chandler,11,Gaspésie--Îles-de-la-Madeleine,,Saint-François-de-Pabos,,6,C,Conseiller,Blais,Horace (Jr),M,Nouveau,,6485,158,7,Non élu
2028,Chandler,11,Gaspésie--Îles-de-la-Madeleine,,Saint-François-de-Pabos,,6,C,Conseiller,Dupuis,Marc-André,M,Nouveau,,6485,160,7,Non élu
2028,Chandler,11,Gaspésie--Îles-de-la-Madeleine,,Saint-François-de-Pabos,,6,C,Conseiller,Huard,Michel,M,Nouveau,,6485,33,7,Non élu
2028,Chandler,11,Gaspésie--Îles-de-la-Madeleine,,Saint-François-de-Pabos,,6,C,Conseiller,Deraiche,Gaétan,M,Nouveau,,6485,242,7,Élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Anglehart,Maurice,M,Nouveau,,2140,258,2,Non élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,McInnis,Jean-Marc,M,Nouveau,,2140,408,2,Non élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Grenier,Henri,M,Sortant,,2140,884,2,Élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,1,,1,C,Conseiller,Dea,Richard,M,Nouveau,,2140,87,,Non élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,1,,1,C,Conseiller,Lepage,Hartley,M,Sortant,,2140,137,,Élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,2,,2,C,Conseiller,Beaudin,Marie-Pier,F,Nouveau,,2140,61,0,Non élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,2,,2,C,Conseiller,Béliveau,Richard,M,Sortant,,2140,69,0,Non élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,2,,2,C,Conseiller,Roy,Louis,M,Nouveau,,2140,50,0,Non élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,2,,2,C,Conseiller,Langlois,Mireille,F,Nouveau,,2140,124,0,Élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,3,,3,C,Conseiller,Cyr,Luc,M,Nouveau,,2140,22,2,Non élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,3,,3,C,Conseiller,Delarosbil,Gaétan,M,Sortant,,2140,15,2,Non élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,3,,3,C,Conseiller,Langlois,Louis-Cléodore,M,Nouveau,,2140,15,2,Non élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,3,,3,C,Conseiller,Michel,Yves,M,Nouveau,,2140,15,2,Non élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,3,,3,C,Conseiller,Roussy,André,M,Nouveau,,2140,54,2,Non élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,3,,3,C,Conseiller,Langlois,Denis,M,Nouveau,,2140,151,2,Élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,4,,4,C,Conseiller,Allain,Jean-Marc,M,Sortant,,2140,60,0,Non élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,4,,4,C,Conseiller,Langlois,Gaétan,M,Nouveau,,2140,34,0,Non élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,4,,4,C,Conseiller,Roussy,Reine,F,Nouveau,,2140,41,0,Non élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,4,,4,C,Conseiller,Blais,Marc-Aurèle,M,Nouveau,,2140,95,0,Élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,5,,5,C,Conseiller,Chouinard,Johanne,F,Nouveau,,2140,19,1,Non élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,5,,5,C,Conseiller,Duguay,Juliette,F,Sortant,,2140,112,1,Non élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,5,,5,C,Conseiller,Allain,Marie-Ève,F,Nouveau,,2140,140,1,Élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,6,,6,C,Conseiller,Anglehart,Annie,F,Sortant,,2140,90,0,Non élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,6,,6,C,Conseiller,Blais Morin,Stéphanie,F,Nouveau,,2140,39,0,Non élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,6,,6,C,Conseiller,Brotherton,Denis,M,Nouveau,,2140,15,0,Non élu
2047,Port-Daniel--Gascons,11,Gaspésie--Îles-de-la-Madeleine,,6,,6,C,Conseiller,Blais,Sylvie,F,Nouveau,,2140,104,0,Élu
3005,Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Lapointe,Jean,M,Nouveau,,11999,462,103,Non élu
3005,Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Côté,Daniel,M,Sortant,,11999,4850,103,Élu
3005,Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,"1 - St-Maurice de l'Échouerie, Petit-Cap, Pointe-J",,1,C,Conseiller,Mathurin,Carmelle,F,Sortant,,11999,0,,Élu sans opposition
3005,Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,2 - Rivière-au-Renard,,2,C,Conseiller,Aspirault,Charles,M,Nouveau,,11999,468,20,Non élu
3005,Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,2 - Rivière-au-Renard,,2,C,Conseiller,Cotton,Réginald,M,Sortant,,11999,569,20,Élu
3005,Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,"3 - L'Anse-au-Griffon, Cap-des-Rosiers, Forillon,",,3,C,Conseiller,Chevalier,Jean-Louis,M,Nouveau,,11999,88,8,Non élu
3005,Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,"3 - L'Anse-au-Griffon, Cap-des-Rosiers, Forillon,",,3,C,Conseiller,Normand,Nadia,F,Nouveau,,11999,263,8,Non élu
3005,Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,"3 - L'Anse-au-Griffon, Cap-des-Rosiers, Forillon,",,3,C,Conseiller,O'Connor,Nelson,M,Sortant,,11999,379,8,Élu
3005,Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,"4 - St-Majorique, Wakeham, Pointe-Navarre",,4,C,Conseiller,Fournier,Steve,M,Nouveau,,11999,196,3,Non élu
3005,Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,"4 - St-Majorique, Wakeham, Pointe-Navarre",,4,C,Conseiller,Jay,Cowboy,M,Nouveau,,11999,118,3,Non élu
3005,Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,"4 - St-Majorique, Wakeham, Pointe-Navarre",,4,C,Conseiller,Landry,Katy,F,Nouveau,,11999,243,3,Non élu
3005,Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,"4 - St-Majorique, Wakeham, Pointe-Navarre",,4,C,Conseiller,Fournier,Marcel,M,Sortant,,11999,506,3,Élu
3005,Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,5 - Gaspé centre-ville,,5,C,Conseiller,Bouchard,Pier-Luc,M,Nouveau,,11999,56,15,Non élu
3005,Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,5 - Gaspé centre-ville,,5,C,Conseiller,Brousseau,Daniel,M,Nouveau,,11999,166,15,Non élu
3005,Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,5 - Gaspé centre-ville,,5,C,Conseiller,Aline,Perry,F,Sortant,,11999,781,15,Élu
3005,Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,"6 - York, Sandy Beach, Haldimand, Douglastown",,6,C,Conseiller,Arsenault,Éric,M,Nouveau,,11999,110,22,Non élu
3005,Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,"6 - York, Sandy Beach, Haldimand, Douglastown",,6,C,Conseiller,Poirier,Paul-Émile,M,Nouveau,,11999,213,22,Non élu
3005,Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,"6 - York, Sandy Beach, Haldimand, Douglastown",,6,C,Conseiller,Smith,Ghislain,M,Sortant,,11999,861,22,Élu
3010,Cloridorme,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Caron,Marc,M,Sortant,,632,163,8,Non élu
3010,Cloridorme,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Fortin,Denis,M,Sortant (autre poste),,632,310,8,Élu
3010,Cloridorme,11,Gaspésie--Îles-de-la-Madeleine,,De la Frégate,,1,C,Conseiller,Joyal,Robert,M,Nouveau,,632,17,,Non élu
3010,Cloridorme,11,Gaspésie--Îles-de-la-Madeleine,,De la Frégate,,1,C,Conseiller,Francoeur,Nathalie,F,Sortant,,632,59,,Élu
3010,Cloridorme,11,Gaspésie--Îles-de-la-Madeleine,,Des Anses,,2,C,Conseiller,Mainville,Marcel,M,Sortant,,632,0,,Élu sans opposition
3010,Cloridorme,11,Gaspésie--Îles-de-la-Madeleine,,Du Havre,,3,C,Conseiller,Fournier,Michèle,F,Nouveau,,632,0,,Élu sans opposition
3010,Cloridorme,11,Gaspésie--Îles-de-la-Madeleine,,De l'Église,,4,C,Conseiller,Cloutier,Nancy,F,Nouveau,,632,0,,Élu sans opposition
3010,Cloridorme,11,Gaspésie--Îles-de-la-Madeleine,,De St-Yvon Ouest,,5,C,Conseiller,Robidoux,Bernard,M,Nouveau,,632,37,,Non élu
3010,Cloridorme,11,Gaspésie--Îles-de-la-Madeleine,,De St-Yvon Ouest,,5,C,Conseiller,Côté,Sophie,F,Sortant (autre poste),,632,54,,Élu
3010,Cloridorme,11,Gaspésie--Îles-de-la-Madeleine,,De la Torpille,,6,C,Conseiller,Côté,Marianne,F,Nouveau,,632,30,,Non élu
3010,Cloridorme,11,Gaspésie--Îles-de-la-Madeleine,,De la Torpille,,6,C,Conseiller,Boulay,Josée,F,Nouveau,,632,57,,Élu
3015,Petite-Vallée,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Clavet,Noel-marie,M,Nouveau,,,0,,Élu sans opposition
3015,Petite-Vallée,11,Gaspésie--Îles-de-la-Madeleine,,,,1,C,Conseiller,Clavet,Paul-André,M,Sortant,,,0,,Élu sans opposition
3015,Petite-Vallée,11,Gaspésie--Îles-de-la-Madeleine,,,,2,C,Conseiller,Tait,Monika,F,Nouveau,,,0,,Élu sans opposition
3015,Petite-Vallée,11,Gaspésie--Îles-de-la-Madeleine,,,,3,C,Conseiller,Côté,Jovette,F,Nouveau,,,56,1,Non élu
3015,Petite-Vallée,11,Gaspésie--Îles-de-la-Madeleine,,,,3,C,Conseiller,Brousseau,Dany,M,Nouveau,,,68,1,Élu
3015,Petite-Vallée,11,Gaspésie--Îles-de-la-Madeleine,,,,4,C,Conseiller,Côté,Isabelle,F,Nouveau,,,46,3,Non élu
3015,Petite-Vallée,11,Gaspésie--Îles-de-la-Madeleine,,,,4,C,Conseiller,Coulombe,André,M,Nouveau,,,76,3,Élu
3015,Petite-Vallée,11,Gaspésie--Îles-de-la-Madeleine,,,,5,C,Conseiller,Clavet,Mélanie,F,Nouveau,,,0,,Élu sans opposition
3015,Petite-Vallée,11,Gaspésie--Îles-de-la-Madeleine,,,,6,C,Conseiller,Richard,Marie-Claude,F,Sortant,,,0,,Élu sans opposition
3020,Grande-Vallée,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Minville,Sonia,F,Nouveau,,929,305,8,Non élu
3020,Grande-Vallée,11,Gaspésie--Îles-de-la-Madeleine,,,,0,M,Maire,Richard,Noel,M,Nouveau,,929,464,8,Élu
3020,Grande-Vallée,11,Gaspésie--Îles-de-la-Madeleine,,,,1,C,Conseiller,Dubé,Stéphane,M,Sortant,,929,372,16,Non élu
3020,Grande-Vallée,11,Gaspésie--Îles-de-la-Madeleine,,,,1,C,Conseiller,Boucher,Pierre,M,Nouveau,,929,389,16,Élu
