newspaper desert,status,province,municipality,CSD code.x,year,turnout,Last Name,Votes,Election Total Votes,number of candidates,Magniuted = # of votes separating first from second,Level,Hierarchical structure,CSD code.y,province_code
0,0,Alberta,Wood Buffalo,4816037,2013,19.93,Blake,6987,11961,3,NA,4,Census subdivision,4816037,48
0,0,Alberta,Wood Buffalo,4816037,2013,19.93,Ouellette,3477,11961,3,NA,4,Census subdivision,4816037,48
0,0,Alberta,Wood Buffalo,4816037,2017,22.4,Scott,8911,13212,4,NA,4,Census subdivision,4816037,48
0,0,Alberta,Wood Buffalo,4816037,2017,22.4,Gradndison,3160,13212,4,NA,4,Census subdivision,4816037,48
0,0,Alberta,Saint Albert,NA,2007,38.130000000000003,NA,NA,NA,2,NA,NA,NA,NA,NA
0,0,Alberta,saint Albert,NA,2007,38.130000000000003,NA,NA,NA,2,NA,NA,NA,NA,NA
0,0,Alberta,Saint Albert,NA,2010,34.159999999999997,Crouse,10760,NA,2,NA,NA,NA,NA,NA
0,0,Alberta,Saint Albert,NA,2010,34.159999999999997,Biermanski,4955,NA,2,NA,NA,NA,NA,NA
0,0,Alberta,Saint Albert,NA,2013,38.1,Crouse,9802,NA,2,NA,NA,NA,NA,NA
0,0,Alberta,Saint Albert,NA,2013,38.1,Biermanski,7836,NA,2,NA,NA,NA,NA,NA
0,0,Alberta,Saint Albert,NA,2017,NA,Heron,10714,NA,3,NA,NA,NA,NA,NA
0,0,Alberta,Saint Albert,NA,2017,NA,MacKay,6840,NA,3,NA,NA,NA,NA,NA
0,0,Alberta,Medicine Hat,4801006,2007,47.5,Normand,10551,18800,4,NA,4,Census subdivision,4801006,48
0,0,Alberta,Medicine Hat,4801006,2007,47.5,Grimm,4471,18800,4,NA,4,Census subdivision,4801006,48
0,0,Alberta,Medicine Hat,4801006,2010,38.229999999999997,Normand,7366,16440,3,NA,4,Census subdivision,4801006,48
0,0,Alberta,Medicine Hat,4801006,2010,38.229999999999997,Friesen,6923,16440,3,NA,4,Census subdivision,4801006,48
0,0,Alberta,Medicine Hat,4801006,2013,40.200000000000003,Clugston,10192,20329,4,NA,4,Census subdivision,4801006,48
0,0,Alberta,Medicine Hat,4801006,2013,40.200000000000003,Turnbull,4955,20329,4,NA,4,Census subdivision,4801006,48
0,0,Alberta,Medicine Hat,4801006,2017,34.61,Clugston,9317,16449,4,NA,4,Census subdivision,4801006,48
0,0,Alberta,Medicine Hat,4801006,2017,34.61,Hamill,4119,16449,4,NA,4,Census subdivision,4801006,48
0,0,Alberta,Grande Prairie,4819012,2007,29.2,Logan,6455,1390,2,NA,4,Census subdivision,4819012,48
0,0,Alberta,Grande Prairie,4819012,2007,29.2,Ayling,3092,1390,2,NA,4,Census subdivision,4819012,48
0,0,Alberta,Grande Prairie,4819012,2010,24,Given,3451,1025,5,NA,4,Census subdivision,4819012,48
0,0,Alberta,Grande Prairie,4819012,2010,24,Logan,3298,1025,5,NA,4,Census subdivision,4819012,48
0,0,Alberta,Grande Prairie,4819012,2013,20.95,Given,6194,3326,2,NA,4,Census subdivision,4819012,48
0,0,Alberta,Grande Prairie,4819012,2013,20.95,Blackmore,2290,3326,2,NA,4,Census subdivision,4819012,48
0,0,Alberta,Grande Prairie,4819012,2017,24,Given,6193,9098,4,NA,4,Census subdivision,4819012,48
0,0,Alberta,Grande Prairie,4819012,2017,24,Baillie,2440,9098,4,NA,4,Census subdivision,4819012,48
0,0,Alberta,Jasper,4815033,2007,37.22,NA,NA,1303,NA,NA,4,Census subdivision,4815033,48
0,0,Alberta,Jasper,4815033,2007,37.22,NA,NA,1303,NA,NA,4,Census subdivision,4815033,48
0,-1,Alberta,Jasper,4815033,2010,39.94,NA,NA,1258,NA,NA,4,Census subdivision,4815033,48
0,-1,Alberta,Jasper,4815033,2010,39.94,NA,NA,1258,NA,NA,4,Census subdivision,4815033,48
0,-1,Alberta,Jasper,4815033,2013,42.45,Ierland,1247,1486,3,NA,4,Census subdivision,4815033,48
0,-1,Alberta,Jasper,4815033,2013,42.45,Byrd,130,1486,3,NA,4,Census subdivision,4815033,48
0,-1,Alberta,Jasper,4815033,2017,NA,Ierland,0,1466,1,NA,4,Census subdivision,4815033,48
0,0,Alberta,Vegerville,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Alberta,Vegerville,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Alberta,Vegerville,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Alberta,Vegerville,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Alberta,Vegerville,NA,2013,NA,Hayduk,1543,NA,3,NA,NA,NA,NA,NA
0,0,Alberta,Vegerville,NA,2013,NA,Toroshenko,292,NA,3,NA,NA,NA,NA,NA
0,-1,Alberta,Vegerville,NA,2017,NA,McPhee,990,NA,2,NA,NA,NA,NA,NA
0,-1,Alberta,Vegerville,NA,2017,NA,Hayduk,949,NA,2,NA,NA,NA,NA,NA
0,0,Alberta,Canmore,4815023,2007,24.56,Casey,0,2211,1,NA,4,Census subdivision,4815023,48
0,0,Alberta,Canmore,4815023,2010,42.03,Casey,1952,3783,2,NA,4,Census subdivision,4815023,48
0,0,Alberta,Canmore,4815023,2010,42.03,Hillstad,1722,3783,2,NA,4,Census subdivision,4815023,48
1,-1,Alberta,Canmore,4815023,2013,37.64,Borrowman,2593,3350,3,NA,4,Census subdivision,4815023,48
1,-1,Alberta,Canmore,4815023,2013,37.64,Helder,672,3350,3,NA,4,Census subdivision,4815023,48
1,-1,Alberta,Canmore,4815023,2017,NA,Borrowman,2862,4500,2,NA,4,Census subdivision,4815023,48
1,-1,Alberta,Canmore,4815023,2017,NA,Russell,1567,4500,2,NA,4,Census subdivision,4815023,48
0,0,British Colombia,Nelson,1309014,2008,49,Dooley,1748,3478,4,NA,NA,NA,NA,NA
0,0,British Colombia,Nelson,1309014,2008,49,Aaron,944,3478,4,NA,NA,NA,NA,NA
0,-1,British Colombia,Nelson,1309014,2011,34,Dooley,1790,2677,3,NA,NA,NA,NA,NA
0,-1,British Colombia,Nelson,1309014,2011,34,Rowberry,481,2677,3,NA,NA,NA,NA,NA
0,-1,British Colombia,Nelson,1309014,2014,54,Kizak,1756,4156,3,NA,NA,NA,NA,NA
0,-1,British Colombia,Nelson,1309014,2014,54,Dooley,1475,4156,3,NA,NA,NA,NA,NA
0,-1,British Colombia,Nelson,1309014,2018,55,Dooley,2290,4315,3,NA,NA,NA,NA,NA
0,-1,British Colombia,Nelson,1309014,2018,55,Kozak,1904,4315,3,NA,NA,NA,NA,NA
0,0,British Colombia,White Rock,5915007,2008,37,Ferguson,3738,5522,2,NA,NA,NA,NA,NA
0,0,British Colombia,White Rock,5915007,2008,37,Peddemors,1784,5522,2,NA,NA,NA,NA,NA
0,0,British Colombia,White Rock,5915007,2011,30,Baldwin,2169,4641,4,NA,NA,NA,NA,NA
0,0,British Colombia,White Rock,5915007,2011,30,Sinclair,1690,4641,4,NA,NA,NA,NA,NA
0,-1,British Colombia,White Rock,5915007,2014,32,Baldwin,3225,5085,2,NA,NA,NA,NA,NA
0,-1,British Colombia,White Rock,5915007,2014,32,Bradshaw,1640,5085,2,NA,NA,NA,NA,NA
0,-1,British Colombia,White Rock,5915007,2018,39,Walker,1883,6276,6,NA,NA,NA,NA,NA
0,-1,British Colombia,White Rock,5915007,2018,39,Pearce,1722,6276,6,NA,NA,NA,NA,NA
0,0,British Colombia,Tumbler Ridge,5955003,2008,46,White,474,863,2,NA,NA,NA,NA,NA
0,0,British Colombia,Tumbler Ridge,5955003,2008,46,Caisley,370,863,2,NA,NA,NA,NA,NA
0,0,British Colombia,Tumbler Ridge,5955003,2011,29,Wren,425,569,2,NA,NA,NA,NA,NA
0,0,British Colombia,Tumbler Ridge,5955003,2011,29,Holmlund,137,569,2,NA,NA,NA,NA,NA
0,0,British Colombia,Tumbler Ridge,5955003,2014,32,McPherson,301,691,3,NA,NA,NA,NA,NA
0,0,British Colombia,Tumbler Ridge,5955003,2014,32,Golhof,258,691,3,NA,NA,NA,NA,NA
0,-1,British Colombia,Tumbler Ridge,5955003,2018,53,Bertrand,251,766,4,NA,NA,NA,NA,NA
0,-1,British Colombia,Tumbler Ridge,5955003,2018,53,McPherson,238,766,4,NA,NA,NA,NA,NA
0,0,British Columbia,Vancouver,5915022,2002,50.49,Campbell,80772,137907,16,NA,4,Census subdivision,5915022,59
0,0,British Columbia,Vancouver,5915022,2002,50.49,Clark,41936,137907,16,NA,4,Census subdivision,5915022,59
0,0,British Columbia,Vancouver,5915022,2005,32.61,Sullivan,61543,130011,20,NA,4,Census subdivision,5915022,59
