mun_c,mun_n,mun_type,mrc_c,mrc_n,reg_c,reg_n,arr_n,dist_n,type_poste_d,nom,prenom,sexe,sortant,parti_n,nb_electeurs,nb_votes_candidat,nb_votes_rejetes,statut_candidat_d
1023,Les Îles-de-la-Madeleine,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,,Maire,Lapierre,Jonathan,M,Sortant (même poste),,10702,3772,95,Élu
1023,Les Îles-de-la-Madeleine,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,,Maire,Deveau,Lise,F,Nouveau candidat,,10702,524,95,Non élu
1023,Les Îles-de-la-Madeleine,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,L'Île-du-Havre-Aubert,Conseiller,Vigneau,Sara,F,Nouveau candidat,,1602,488,14,Élu
1023,Les Îles-de-la-Madeleine,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,L'Île-du-Havre-Aubert,Conseiller,Leblanc,Germain,M,Nouveau candidat,,1602,336,14,Non élu
1023,Les Îles-de-la-Madeleine,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,L'Étang-du-Nord,Conseiller,Lafrance,Hugues,M,Nouveau candidat,,2855,0,,Élu sans opposition
1023,Les Îles-de-la-Madeleine,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,L'Étang-du-Nord,Conseiller,Poirier,Yann-Philippe,M,Nouveau candidat,,2855,0,,Désistement
1023,Les Îles-de-la-Madeleine,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,Cap-aux-Meules,Conseiller,Leblanc,Richard,M,Sortant (même poste),,1534,0,,Élu sans opposition
1023,Les Îles-de-la-Madeleine,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,Fatima,Conseiller,Chevarie,Roger,M,Sortant (même poste),,2472,0,,Élu sans opposition
1023,Les Îles-de-la-Madeleine,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,Havre-aux-Maisons,Conseiller,Arseneau,Benoit,M,Sortant (même poste),,1790,0,,Élu sans opposition
1023,Les Îles-de-la-Madeleine,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,Grande-Entrée,Conseiller,Richard,Gaétan,M,Sortant (même poste),,449,0,,Élu sans opposition
1042,Grosse-Île,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,,Maire,Davies,Diana-Joy,F,Nouveau candidat,,0,0,,Élu sans opposition
1042,Grosse-Île,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Boudreau,Marlene,F,Sortant (autre poste),,0,0,,Élu sans opposition
1042,Grosse-Île,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Burke,Kathy,F,Nouveau candidat,,0,0,,Élu sans opposition
1042,Grosse-Île,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Clark,Johanne,F,Nouveau candidat,,0,0,,Élu sans opposition
1042,Grosse-Île,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Keating,Katrina,F,Nouveau candidat,,0,0,,Élu sans opposition
1042,Grosse-Île,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Matthews,Miranda,F,Nouveau candidat,,0,0,,Élu sans opposition
1042,Grosse-Île,Municipalité,,Hors MRC,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Clark,Nancy,F,Sortant (autre poste),,0,0,,Élu sans opposition
2005,Percé,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Maire,Poirier,Cathy,F,Sortant (même poste),,2826,684,19,Élu
2005,Percé,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Maire,Lafontaine,Olivier,M,Nouveau candidat,,2826,593,19,Non élu
2005,Percé,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Cahill-Vibert,Allyson,F,Sortant (autre poste),,403,0,,Élu sans opposition
2005,Percé,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Roussy,Shanna,F,Nouveau candidat,,376,121,1,Élu
2005,Percé,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Sheehan,Jerry,M,Sortant (même poste),,376,45,1,Non élu
2005,Percé,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Després,Michel,M,Nouveau candidat,,376,2,1,Non élu
2005,Percé,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Rail,Michel,M,Nouveau candidat,,317,122,1,Élu
2005,Percé,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Warren,Magella,M,Sortant (même poste),,317,59,1,Non élu
2005,Percé,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Blais,Raphaël,M,Nouveau candidat,,317,22,1,Non élu
2005,Percé,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Cloutier,Yannick,M,Nouveau candidat,,417,157,1,Élu
2005,Percé,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Vibert,Clifford,M,Nouveau candidat,,417,76,1,Non élu
2005,Percé,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Hautcoeur,Gaétane,F,Nouveau candidat,,297,108,5,Élu
2005,Percé,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Arbour,Guillaume,M,Nouveau candidat,,297,67,5,Non élu
2005,Percé,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Réhel,Doris,F,Sortant (même poste),,325,0,,Élu sans opposition
2005,Percé,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Côté,Jonathan,M,Sortant (même poste),,313,0,,Élu sans opposition
2005,Percé,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Ste-Croix,Nicolas,M,Sortant (même poste),,378,0,,Élu sans opposition
2010,Sainte-Thérèse-de-Gaspé,Municipalité,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Maire,Blondin,Roberto,M,Sortant (même poste),,887,306,8,Élu
2010,Sainte-Thérèse-de-Gaspé,Municipalité,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Maire,Desbois,Jacques,M,Sortant (autre poste),,887,241,8,Non élu
2010,Sainte-Thérèse-de-Gaspé,Municipalité,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Lelièvre,Nadine,F,Sortant (même poste),,176,0,,Élu sans opposition
2010,Sainte-Thérèse-de-Gaspé,Municipalité,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Lebreux,Patrick,M,Sortant (même poste),,159,0,,Élu sans opposition
2010,Sainte-Thérèse-de-Gaspé,Municipalité,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Langlais Marcoux,Dorine,F,Nouveau candidat,,167,52,2,Élu
2010,Sainte-Thérèse-de-Gaspé,Municipalité,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Lelièvre,Joé,M,Nouveau candidat,,167,51,2,Non élu
2010,Sainte-Thérèse-de-Gaspé,Municipalité,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Cyr,Jean-Marie,M,Nouveau candidat,,167,9,2,Non élu
2010,Sainte-Thérèse-de-Gaspé,Municipalité,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Vallée,Roland,M,Sortant (même poste),,145,0,,Élu sans opposition
2010,Sainte-Thérèse-de-Gaspé,Municipalité,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Couture,Jeannot,M,Sortant (même poste),,116,0,,Élu sans opposition
2010,Sainte-Thérèse-de-Gaspé,Municipalité,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Roussy,Jacques,M,Sortant (même poste),,124,0,,Élu sans opposition
2015,Grande-Rivière,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Maire,CYR,GINO,M,Sortant (même poste),,2910,0,,Élu sans opposition
2015,Grande-Rivière,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,ANDERSON,DENIS,M,Nouveau candidat,,422,83,0,Élu
2015,Grande-Rivière,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,CHABOT,SOPHIE,F,Nouveau candidat,,422,40,0,Non élu
2015,Grande-Rivière,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,MOREAU,CAROL,M,Nouveau candidat,,475,152,0,Élu
2015,Grande-Rivière,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,MOREAU,CHRISTIAN,M,Sortant (même poste),,475,129,0,Non élu
2015,Grande-Rivière,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,BRIAND,LEOPOLD,M,Sortant (même poste),,478,0,,Élu sans opposition
2015,Grande-Rivière,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,NICOLAS,LUCIE,F,Sortant (même poste),,469,0,,Élu sans opposition
2015,Grande-Rivière,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,LEBLANC,GASTON,M,Sortant (même poste),,567,0,,Élu sans opposition
2015,Grande-Rivière,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,BEAUDIN,DENIS,M,Sortant (même poste),,499,0,,Élu sans opposition
2028,Chandler,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Maire,Daraiche,Gilles,M,Nouveau candidat,,6443,1843,14,Élu
2028,Chandler,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Maire,Pelchat,Denis,M,Sortant (autre poste),,6443,1375,14,Non élu
2028,Chandler,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Maire,Blais,Marie Claire,F,Nouveau candidat,,6443,512,14,Non élu
2028,Chandler,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,Newport,Conseiller,Godbout,Bruno-Pierre,M,Sortant (même poste),,1294,446,8,Élu
2028,Chandler,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,Newport,Conseiller,Grenier,Claude,M,Nouveau candidat,,1294,303,8,Non élu
2028,Chandler,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,Pabos Mills,Conseiller,Ritchie,Meggie,F,Sortant (même poste),,1198,604,1,Élu
2028,Chandler,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,Pabos Mills,Conseiller,Bouchard,François,M,Nouveau candidat,,1198,81,1,Non élu
2028,Chandler,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,Chandler Ouest,Conseiller,Collin,Josée,F,Nouveau candidat,,1198,0,,Élu sans opposition
2028,Chandler,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,Chandler Est,Conseiller,Leblanc,Raynald,M,Nouveau candidat,,1071,301,2,Élu
2028,Chandler,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,Chandler Est,Conseiller,Lavoie,Marcel,M,Nouveau candidat,,1071,123,2,Non élu
2028,Chandler,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,Chandler Est,Conseiller,Vallée,Winnita,F,Nouveau candidat,,1071,95,2,Non élu
2028,Chandler,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,Chandler Est,Conseiller,Kearney,Normand,M,Nouveau candidat,,1071,39,2,Non élu
2028,Chandler,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,Pabos,Conseiller,Arsenault,Pierre-Luc,M,Nouveau candidat,,855,294,1,Élu
2028,Chandler,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,Pabos,Conseiller,Broom,Nadine,F,Nouveau candidat,,855,176,1,Non élu
2028,Chandler,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,Pabos,Conseiller,Vachon,Donald,M,Sortant (même poste),,855,65,1,Non élu
2028,Chandler,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,Pabos,Conseiller,Dupuis,Marc-André,M,Nouveau candidat,,855,28,1,Non élu
2028,Chandler,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,Saint-François,Conseiller,Daraiche,Gaétan,M,Sortant (même poste),,827,366,0,Élu
2028,Chandler,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,Saint-François,Conseiller,Travers,Monique,F,Nouveau candidat,,827,103,0,Non élu
2028,Chandler,Ville,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,Saint-François,Conseiller,Duguay,Monique,F,Nouveau candidat,,827,74,0,Non élu
2047,Port-Daniel—Gascons,Municipalité,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Maire,Grenier,Henri,M,Sortant (même poste),,2121,0,,Élu sans opposition
2047,Port-Daniel—Gascons,Municipalité,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Beaudin,François,M,Nouveau candidat,,383,146,0,Élu
2047,Port-Daniel—Gascons,Municipalité,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Dea,Richard,M,Nouveau candidat,,383,55,0,Non élu
2047,Port-Daniel—Gascons,Municipalité,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Castilloux,Jo-Annie,F,Nouveau candidat,,403,163,2,Élu
2047,Port-Daniel—Gascons,Municipalité,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Langlois,Mireille,F,Sortant (même poste),,403,96,2,Non élu
2047,Port-Daniel—Gascons,Municipalité,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Langlois,Denis,M,Sortant (même poste),,350,169,1,Élu
2047,Port-Daniel—Gascons,Municipalité,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Langlois,Louis Cleodore,M,Nouveau candidat,,350,40,1,Non élu
2047,Port-Daniel—Gascons,Municipalité,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Blais,Marc-Aurele,M,Sortant (même poste),,266,132,1,Élu
2047,Port-Daniel—Gascons,Municipalité,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Parisé,Alfred,M,Nouveau candidat,,266,48,1,Non élu
2047,Port-Daniel—Gascons,Municipalité,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Allain,Marie-Ève,F,Sortant (même poste),,386,130,2,Élu
2047,Port-Daniel—Gascons,Municipalité,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Huard,Daniel,M,Nouveau candidat,,386,102,2,Non élu
2047,Port-Daniel—Gascons,Municipalité,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Blais,Sylvie,F,Sortant (même poste),,333,159,3,Élu
2047,Port-Daniel—Gascons,Municipalité,20,Le Rocher-Percé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Anglehart,Anie,F,Nouveau candidat,,333,58,3,Non élu
3005,Gaspé,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Maire,Côté,Daniel,M,Sortant (même poste),,12268,0,,Élu sans opposition
3005,Gaspé,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Denis,Mathieu,M,Nouveau candidat,,1097,378,0,Élu
3005,Gaspé,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Mathurin,Carmelle,F,Sortant (même poste),,1097,235,0,Non élu
3005,Gaspé,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Cotton,Reginald,M,Sortant (même poste),,2170,0,,Désistement
3005,Gaspé,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Noël,Jean-Michel,M,Nouveau candidat,,2170,0,,Élu sans opposition
3005,Gaspé,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Giroux Bossé,Charlie-Maude,F,Nouveau candidat,,1413,411,3,Élu
3005,Gaspé,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,O'Connor,Nelson,M,Sortant (même poste),,1413,267,3,Non élu
3005,Gaspé,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Côté,Réal,M,Nouveau candidat,,2085,515,1,Élu
3005,Gaspé,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Fournier,Marcel,M,Sortant (même poste),,2085,314,1,Non élu
3005,Gaspé,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Keays,James,M,Nouveau candidat,,2218,546,0,Élu
3005,Gaspé,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Perry,Aline,F,Sortant (même poste),,2218,415,0,Non élu
3005,Gaspé,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Smith,Ghislain,M,Sortant (même poste),,3285,540,1,Élu
3005,Gaspé,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Desrosiers,Pierre,M,Nouveau candidat,,3285,325,1,Non élu
3010,Cloridorme,Canton,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Maire,Martin,Pierre,M,Nouveau candidat,,582,0,,Élu sans opposition
3010,Cloridorme,Canton,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,de la Frégate,Conseiller,Dupuis,Josette,F,Nouveau candidat,,75,0,,Élu sans opposition
3010,Cloridorme,Canton,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,des Anses,Conseiller,Mainville,Marcel,M,Sortant (même poste),,106,0,,Élu sans opposition
3010,Cloridorme,Canton,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,du Havre,Conseiller,Fournier,Michèle,F,Sortant (autre poste),,90,0,,Élu sans opposition
3010,Cloridorme,Canton,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,de l' Église,Conseiller,Cloutier,Nancy,F,Sortant (même poste),,98,43,0,Élu
3010,Cloridorme,Canton,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,de l' Église,Conseiller,Coté,Nathalie,F,Nouveau candidat,,98,22,0,Non élu
3010,Cloridorme,Canton,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,de St-Yvon Ouest,Conseiller,Poirier,Normand,M,Sortant (même poste),,113,54,3,Élu
3010,Cloridorme,Canton,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,de St-Yvon Ouest,Conseiller,Deschesnes,Gilles,M,Nouveau candidat,,113,25,3,Non élu
3010,Cloridorme,Canton,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,de la Torpille,Conseiller,Boulay,Josée,F,Sortant (même poste),,100,44,0,Élu
3010,Cloridorme,Canton,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,de la Torpille,Conseiller,Coulombe,Bernard,M,Nouveau candidat,,100,28,0,Non élu
3015,Petite-Vallée,Municipalité,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Maire,Clavet,Mélanie,F,Sortant (même poste),,0,,,Élu sans opposition
3015,Petite-Vallée,Municipalité,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Clavet,Paul-André,M,Sortant (même poste),,0,,,Élu sans opposition
3015,Petite-Vallée,Municipalité,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Tait,Monika,F,Sortant (même poste),,0,,,Élu sans opposition
3015,Petite-Vallée,Municipalité,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,,,,,,,,,Poste vacant
3015,Petite-Vallée,Municipalité,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Coulombe,André,M,Sortant (même poste),,0,,,Élu sans opposition
3015,Petite-Vallée,Municipalité,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Côté,Jovette,F,Nouveau candidat,,0,,,Élu sans opposition
3015,Petite-Vallée,Municipalité,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Richard,Marie-Claude,F,Sortant (même poste),,0,,,Élu sans opposition
3020,Grande-Vallée,Municipalité,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Maire,Richard,Noël,M,Sortant (même poste),,935,0,,Élu sans opposition
3020,Grande-Vallée,Municipalité,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Fournier,Karine,F,Nouveau candidat,,935,329,20,Élu
3020,Grande-Vallée,Municipalité,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Boucher,Pierre,M,Sortant (même poste),,935,188,20,Non élu
3020,Grande-Vallée,Municipalité,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Fournier,Nelson,M,Sortant (même poste),,935,0,,Élu sans opposition
3020,Grande-Vallée,Municipalité,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Ratté,Thierry,M,Sortant (même poste),,935,0,,Élu sans opposition
3020,Grande-Vallée,Municipalité,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Minville,Anne,F,Nouveau candidat,,935,402,11,Élu
3020,Grande-Vallée,Municipalité,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Côté,Éric,M,Sortant (même poste),,935,124,11,Non élu
3020,Grande-Vallée,Municipalité,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Dorion,Nathalie,F,Nouveau candidat,,935,311,13,Élu
3020,Grande-Vallée,Municipalité,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Roy,Pauline,F,Nouveau candidat,,935,213,13,Non élu
3020,Grande-Vallée,Municipalité,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Minville,Berchmans,M,Sortant (même poste),,935,0,,Élu sans opposition
3025,Murdochville,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Maire,Roussy,Délisca,F,Sortant (même poste),,501,248,6,Élu
3025,Murdochville,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Maire,De Bellefeuille,Chantal,F,Nouveau candidat,,501,96,6,Non élu
3025,Murdochville,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Blanchette,Mathieu,M,Nouveau candidat,,501,200,9,Élu
3025,Murdochville,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Pelletier,Martin,M,Sortant (même poste),,501,137,9,Non élu
3025,Murdochville,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Mercier,Harold,M,Nouveau candidat,,501,181,5,Élu
3025,Murdochville,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Bernatchez,Gilles,M,Nouveau candidat,,501,115,5,Non élu
3025,Murdochville,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Lorange,Isabelle,F,Nouveau candidat,,501,49,5,Non élu
3025,Murdochville,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Poulin,Jean-Philippe,M,Nouveau candidat,,501,184,7,Élu
3025,Murdochville,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Cyr,Line,F,Nouveau candidat,,501,158,7,Non élu
3025,Murdochville,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Fournier,Daniel,M,Sortant (même poste),,501,210,4,Élu
3025,Murdochville,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Thibodeau,Frédérique,F,Nouveau candidat,,501,88,4,Non élu
3025,Murdochville,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Lord,Réjean,M,Nouveau candidat,,501,48,4,Non élu
3025,Murdochville,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Chouinard,Jean-Pierre,M,Sortant (même poste),,501,0,,Élu sans opposition
3025,Murdochville,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Minville,André,M,Nouveau candidat,,501,196,4,Élu
3025,Murdochville,Ville,30,La Côte-de-Gaspé,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Devouge,Logan,M,Nouveau candidat,,501,150,4,Non élu
4005,Sainte-Madeleine-de-la-Rivière-Madeleine,Municipalité,40,La Haute-Gaspésie,11,Gaspésie—Îles-de-la-Madeleine,,,Maire,Côté,Joël,M,Sortant (même poste),,379,0,,Élu sans opposition
4005,Sainte-Madeleine-de-la-Rivière-Madeleine,Municipalité,40,La Haute-Gaspésie,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Daraiche,Noëlla,F,Sortant (même poste),,379,139,5,Élu
4005,Sainte-Madeleine-de-la-Rivière-Madeleine,Municipalité,40,La Haute-Gaspésie,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Fournier,Nancy,F,Nouveau candidat,,379,89,5,Non élu
4005,Sainte-Madeleine-de-la-Rivière-Madeleine,Municipalité,40,La Haute-Gaspésie,11,Gaspésie—Îles-de-la-Madeleine,,,Conseiller,Fournier,Albiny,M,Sortant (même poste),,379,146,2,Élu
