MUNICIPALITY NAME,NAME OF PERSON ELECTED - LAST NAME,NAME OF PERSON ELECTED - FIRST NAME,"NAME OF
OFFICE",NUMBER OF VOTES CAST FOR THE CANDIDATE,NUMBER OF VOTES CAST FOR THE OFFICE,ELECTED or ACCLAIMED?,DID CANDIDATE SERVE ON 2010-2014 COUNCIL? (YES / NO)
Adjala-Tosorontio Tp,SMALL BRETT,MARY,MAYOR,"1,807","3,280",ELECTED,YES
Adjala-Tosorontio Tp,LITTLE,DOUG,DEPUTY MAYOR,"1,627","3,223",ELECTED,YES
Adjala-Tosorontio Tp,PINTO,FLOYD,LOCAL COUNCILLOR,387,563,ELECTED,YES
Adjala-Tosorontio Tp,KEENAN,AMBROSE,LOCAL COUNCILLOR,415,642,ELECTED,YES
Adjala-Tosorontio Tp,MEADOWS,BOB,LOCAL COUNCILLOR,307,646,ELECTED,NO
Adjala-Tosorontio Tp,ROSE,DAVE,LOCAL COUNCILLOR,580,871,ELECTED,NO
Ajax T,PARISH,STEVE,MAYOR,"18,603","22,612",ELECTED,YES
Ajax T,COLLIER,SHAUN,LOCAL AND REGIONAL COUNCILLOR,"7,735","12,158",ELECTED,YES
Ajax T,JORDAN,COLLEEN,LOCAL AND REGIONAL COUNCILLOR,"7,359","10,207",ELECTED,YES
Ajax T,CRAWFORD,MARILYN,LOCAL COUNCILLOR,"3,449","5,481",ELECTED,YES
Ajax T,ASHBY,RENRICK,LOCAL COUNCILLOR,"2,139","6,827",ELECTED,YES
Ajax T,DIES,JOANNE,LOCAL COUNCILLOR,"2,997","4,678",ELECTED,YES
Ajax T,BROWN,PAT,LOCAL COUNCILLOR,"3,940","1,554",ELECTED,YES
Amaranth Tp,MACIVER,DON,MAYOR,434,820,ELECTED,YES
Amaranth Tp,AULTMAN,JANE,DEPUTY MAYOR, -   , -   ,ACCLAIMED,YES
Amaranth Tp,FOSTER,HEATHER,LOCAL COUNCILLOR,449,"2,057",ELECTED,YES
Amaranth Tp,GERRITS,CHRIS,LOCAL COUNCILLOR,457,"2,057",ELECTED,NO
Amaranth Tp,LITTLE,GAIL,LOCAL COUNCILLOR,423,"2,057",ELECTED,NO
Aurora T,DAWE,GEOFF,MAYOR,"8,903","13,009",ELECTED,YES
Aurora T,ABEL,JOHN,LOCAL COUNCILLOR,"6,098","73,969",ELECTED,YES
Aurora T,HUMFRYES,SANDRA,LOCAL COUNCILLOR,"5,052","73,969",ELECTED,YES
Aurora T,THOMPSON,MICHAEL,LOCAL COUNCILLOR,"4,974","73,969",ELECTED,YES
Aurora T,THOM,JEFF,LOCAL COUNCILLOR,"4,921","73,969",ELECTED,NO
Aurora T,GAERTNER,WENDY,LOCAL COUNCILLOR,"4,605","73,969",ELECTED,YES
Aurora T,KIM,HAROLD,LOCAL COUNCILLOR,"4,098","73,969",ELECTED,NO
Aurora T,MRAKAS,TOM,LOCAL COUNCILLOR,"3,826","73,969",ELECTED,NO
Aurora T,PIRRI,PAUL,LOCAL COUNCILLOR,"3,760","73,969",ELECTED,YES
Barrie C,LEHMAN,JEFF,MAYOR,"26,385","28,601",ELECTED,YES
Barrie C,AINSWORTH,BONNIE,LOCAL COUNCILLOR,"2,028","3,226",ELECTED,YES
Barrie C,ROMITA,ROSE,LOCAL COUNCILLOR,"1,256","3,974",ELECTED,NO
Barrie C,SHIPLEY,DOUG,LOCAL COUNCILLOR,"2,060","2,547",ELECTED,YES
Barrie C,WARD,BARRY,LOCAL COUNCILLOR,"1,420","3,188",ELECTED,YES
Barrie C,SILVEIRA,PETER,LOCAL COUNCILLOR,"1,188","2,717",ELECTED,YES
Barrie C,PROWSE,MICHAEL,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Barrie C,BRASSARD,JOHN,LOCAL COUNCILLOR,"1,779","2,364",ELECTED,YES
Barrie C,KHAN,ARIF,LOCAL COUNCILLOR,"2,021","3,427",ELECTED,YES
Barrie C,MORALES,SERGIO,LOCAL COUNCILLOR,967,"1,873",ELECTED,NO
Barrie C,MCCANN,MIKE,LOCAL COUNCILLOR,"1,303","2,788",ELECTED,NO
Bracebridge T,SMITH,GRAYDON,MAYOR,"5,171","6,157",ELECTED,YES
Bracebridge T,CLEMENT,STEVEN,LOCAL AND DISTRICT COUNCILLOR,"3,382","15,344",ELECTED,YES
Bracebridge T,GIASCHI-PACINI,LORI-LYNN,LOCAL AND DISTRICT COUNCILLOR,"3,034","15,344",ELECTED,YES
Bracebridge T,SMITH,DON,LOCAL AND DISTRICT COUNCILLOR,"3,802","15,344",ELECTED,NO
Bracebridge T,WILSON,CHRIS,LOCAL COUNCILLOR,565,"1,221",ELECTED,NO
Bracebridge T,QUEMBY,MARK,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Bracebridge T,MALONEY,RICK,LOCAL COUNCILLOR,"1,069","1,613",ELECTED,YES
Bracebridge T,BUIE,ARCHIE,LOCAL COUNCILLOR,548,710,ELECTED,NO
Bracebridge T,MCMURRAY,BARB,LOCAL COUNCILLOR,436,551,ELECTED,YES
Bradford-West Gwillimbury T,KEFFER,ROB,MAYOR,"4,741","8,759",ELECTED,YES
Bradford-West Gwillimbury T,LEDUC,JAMES,DEPUTY MAYOR,"4,622","8,465",ELECTED,YES
Bradford-West Gwillimbury T,SANDHU,RAJ,LOCAL COUNCILLOR,739,"1,229",ELECTED,YES
Bradford-West Gwillimbury T,BAYNES,GARY,LOCAL COUNCILLOR,948,"1,471",ELECTED,NO
Bradford-West Gwillimbury T,LAMB,GARY,LOCAL COUNCILLOR,411,686,ELECTED,YES
Bradford-West Gwillimbury T,ORR,RON,LOCAL COUNCILLOR,689,"1,308",ELECTED,NO
Bradford-West Gwillimbury T,FERRAGINE,PETER,LOCAL COUNCILLOR,686,"1,352",ELECTED,NO
Bradford-West Gwillimbury T,CONTOIS,MARK,LOCAL COUNCILLOR,556,"1,047",ELECTED,NO
Bradford-West Gwillimbury T,DYKIE JR.,PETER,LOCAL COUNCILLOR,591,"1,753",ELECTED,YES
Brampton C,JEFFREY,LINDA,MAYOR,"51,061","103,501",ELECTED,NO
Brampton C,GIBSON,GRANT,LOCAL COUNCILLOR,"7,378","16,691",ELECTED,YES
Brampton C,BOWMAN,JEFF,LOCAL COUNCILLOR,"4,703","18,824",ELECTED,NO
Brampton C,WHILLANS,DOUG,LOCAL COUNCILLOR,"4,974","19,625",ELECTED,NO
Brampton C,FORTINI,PAT,LOCAL COUNCILLOR,"8,447","21,488",ELECTED,NO
Brampton C,DHILLON,GURPREET,LOCAL COUNCILLOR,"9,543","23,284",ELECTED,NO
Brampton C,MOORE,ELAINE,LOCAL AND REGIONAL COUNCILLOR,"8,784","16,868",ELECTED,YES
Brampton C,MEDEIROS,MARTIN,LOCAL AND REGIONAL COUNCILLOR,"4,188","19,171",ELECTED,NO
Brampton C,PALLESCHI,MICHAEL,LOCAL AND REGIONAL COUNCILLOR,"7,028","19,462",ELECTED,NO
Brampton C,MILES,GAEL,LOCAL AND REGIONAL COUNCILLOR,"10,841","21,527",ELECTED,YES
Brampton C,SPROVIERI,JOHN,LOCAL AND REGIONAL COUNCILLOR,"6,774","23,312",ELECTED,YES
Brock Tp,GRANT,JOHN,MAYOR,"2,120","4,413",ELECTED,NO
Brock Tp,SMITH,W.E. TED,LOCAL AND REGIONAL COUNCILLOR,"1,722","4,298",ELECTED,YES
Brock Tp,LODWICK,GORD,LOCAL COUNCILLOR,453,840,ELECTED,NO
Brock Tp,SKINNER,RANDY,LOCAL COUNCILLOR,686,811,ELECTED,YES
Brock Tp,PARLIAMENT,MIKE,LOCAL COUNCILLOR,545,"1,007",ELECTED,NO
Brock Tp,MILLER,THERESE ,LOCAL COUNCILLOR,457,793,ELECTED,NO
Brock Tp,CAMPBELL,LYNN,LOCAL COUNCILLOR,315,938,ELECTED,NO
Burlington C,GOLDRING,RICK,MAYOR,"36,237","42,222",ELECTED,YES
Burlington C,CRAVEN,RICK,LOCAL AND REGIONAL COUNCILLOR,"4,772","7,750",ELECTED,YES
Burlington C,MEED WARD,MARIANNE,LOCAL AND REGIONAL COUNCILLOR,"4,654","6,404",ELECTED,YES
Burlington C,TAYLOR,JOHN,LOCAL AND REGIONAL COUNCILLOR,"2,977","5,072",ELECTED,YES
Burlington C,DENNISON,JACK,LOCAL AND REGIONAL COUNCILLOR,"5,401","9,260",ELECTED,YES
Burlington C,SHARMAN,PAUL,LOCAL AND REGIONAL COUNCILLOR,"3,935","6,639",ELECTED,YES
Burlington C,LANCASTER,BLAIR,LOCAL AND REGIONAL COUNCILLOR,"2,087","6,973",ELECTED,YES
Caledon T,THOMPSON,ALLAN,MAYOR,"7,822","16,133",ELECTED,YES
Caledon T,BEFFORT,DOUG,LOCAL COUNCILLOR,"2,018","2,063",ELECTED,YES
Caledon T,SHAUGHNESSY,BARB,LOCAL AND REGIONAL COUNCILLOR,"1,442","2,913",ELECTED,NO
Caledon T,MCCLURE,GORD,LOCAL COUNCILLOR,"2,230","3,070",ELECTED,YES
Caledon T,DOWNEY,JOHANNA,LOCAL AND REGIONAL COUNCILLOR,"2,456","3,046",ELECTED,NO
Caledon T,DEBOER,NICK,LOCAL COUNCILLOR,"3,137","4,662",ELECTED,YES
Caledon T,INNIS,JENNIFER,LOCAL AND REGIONAL COUNCILLOR,"2,752","4,790",ELECTED,NO
Caledon T,MEZZAPELLI,ROB,LOCAL COUNCILLOR,"2,527","5,206",ELECTED,YES
Caledon T,GROVES,ANNETTE,LOCAL AND REGIONAL COUNCILLOR,"2,676","5,273",ELECTED,NO
Clarington M,FOSTER,ADRIAN,MAYOR,"10,093","18,824",ELECTED,YES
Clarington M,NEAL,JOE,LOCAL AND REGIONAL COUNCILLOR,"3,962","10,659",ELECTED,YES
Clarington M,WOO,WILLIE,LOCAL AND REGIONAL COUNCILLOR,,,ACCLAIMED,YES
Clarington M,COOKE,STEVEN,LOCAL COUNCILLOR,"1,247","5,145",ELECTED,NO
Clarington M,HOOPER,RON,LOCAL COUNCILLOR,"4,132","5,132",ELECTED,YES
Clarington M,TRAILL,CORINNA,LOCAL COUNCILLOR,"1,593","4,036",ELECTED,YES
Clarington M,PARTNER,WENDY,LOCAL COUNCILLOR,"2,135","3,986",ELECTED,YES
Clearview Tp,VANDERKRUYS,CHRISTOPHER,MAYOR,"2,856","5,111",ELECTED,NO
Clearview Tp,BURTON,BARRY,DEPUTY MAYOR,"2,589","5,095",ELECTED,NO
Clearview Tp,MEASURES,DOUG,LOCAL COUNCILLOR,483,926,ELECTED,YES
Clearview Tp,ELWOOD,KEVIN,LOCAL COUNCILLOR,569,805,ELECTED,YES
Clearview Tp,WALKER,ROBERT,LOCAL COUNCILLOR,398,759,ELECTED,YES
Clearview Tp,ELWOOD,SHAWN,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Clearview Tp,PATERSON,THOM,LOCAL COUNCILLOR,545,845,ELECTED,YES
Clearview Tp,LEISHMAN,CONNIE,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Clearview Tp,BRONEE,DEBORAH,LOCAL COUNCILLOR,378,616,ELECTED,YES
Collingwood T,COOPER,SANDRA,MAYOR,"4,636","9,040",ELECTED,YES
Collingwood T,SAUNDERSON,BRIAN,DEPUTY MAYOR,"5,701","8,946",ELECTED,NO
Collingwood T,FRYER,TIM,LOCAL COUNCILLOR,"5,301","49,861",ELECTED,NO
Collingwood T,EDWARDS,MIKE,LOCAL COUNCILLOR,"4,425","49,861",ELECTED,YES
Collingwood T,ECCLESTONE,CAM,LOCAL COUNCILLOR,"3,792","49,861",ELECTED,NO
Collingwood T,JEFFERY,KATHY,LOCAL COUNCILLOR,"3,674","49,861",ELECTED,NO
Collingwood T,DOHERTY,DEB,LOCAL COUNCILLOR,"3,617","49,861",ELECTED,NO
Collingwood T,MADIGAN,BOB,LOCAL COUNCILLOR,"3,550","49,861",ELECTED,NO
Collingwood T,LLOYD,KEVIN,LOCAL COUNCILLOR,"3,402","49,861",ELECTED,YES
Dufferin Co,WILLIAMS,JEREMY,LOCAL AND COUNTY COUNCILLOR,,,,NO
Dufferin Co,MAYCOCK,WARREN,LOCAL AND COUNTY COUNCILLOR,,,,YES
Dufferin Co,DUNLOP,GEOFF,LOCAL AND COUNTY COUNCILLOR,,,,NO
Dufferin Co,BENNINGTON,KENNETH,LOCAL AND COUNTY COUNCILLOR,,,,YES
Dufferin Co,GARDHOUSE,GUY,LOCAL AND COUNTY COUNCILLOR,,,,YES
Dufferin Co,RYAN,LAURA,LOCAL AND COUNTY COUNCILLOR,,,,YES
Dufferin Co,MCGHEE,KENNETH,LOCAL AND COUNTY COUNCILLOR,,,,YES
Dufferin Co,MCIVOR,DON,LOCAL AND COUNTY COUNCILLOR,,,,YES
Dufferin Co,AULTMAN,JANE,LOCAL AND COUNTY COUNCILLOR,,,,NO
Dufferin Co,MILLS,PAUL,LOCAL AND COUNTY COUNCILLOR,,,,YES
Dufferin Co,MCINTOSH-HAYES,HEATHER,LOCAL AND COUNTY COUNCILLOR,,,,NO
Dufferin Co,WHITE,DARREN,LOCAL AND COUNTY COUNCILLOR,,,,YES
Dufferin Co,ELLIOTT,JANICE,LOCAL AND COUNTY COUNCILLOR,,,,NO
Dufferin Co,SOLOMON,STEVE,LOCAL AND COUNTY COUNCILLOR,,,,YES
Durham R,ANDERSON,ROGER,REGIONAL CHAIR,"57,905","124,000",ELECTED,YES
Durham R,HENRY,JOHN,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Durham R,DIAMOND,NANCY,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Durham R,ENGLAND,AMY,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Durham R,CARTER,DAN,LOCAL AND REGIONAL COUNCILLOR,,,,NO
Durham R,PIDWEBECKI,NESTER,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Durham R,AKER,JOHN,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Durham R,NEAL,JOHN,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Durham R,CHAPMAN,BOB,LOCAL AND REGIONAL COUNCILLOR,,,,NO
Durham R,RYAN,DAVE,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Durham R,O'CONNELL,JENNIFER,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Durham R,MCLEAN,BILL,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Durham R,PICKLES,DAVID,LOCAL AND REGIONAL COUNCILLOR,,,,NO
Durham R,PARISH,STEVE,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Durham R,COLLIER,SHAUN,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Durham R,JORDAN,COLLEEN,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Durham R,FOSTER,ADRIAN,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Durham R,NEAL,JOE,LOCAL AND REGIONAL COUNCILLOR,,,,NO
Durham R,WOO,WILLIE,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Durham R,MITCHELL,DON,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Durham R,ROY,ELIZABETH,LOCAL AND REGIONAL COUNCILLOR,,,,NO
Durham R,COE,LORNE EARLE,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Durham R,DRUMM,JOE,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Durham R,GRANT,JOHN,LOCAL AND REGIONAL COUNCILLOR,,,,NO
Durham R,SMITH,W. E. TED,LOCAL AND REGIONAL COUNCILLOR,,,,NO
Durham R,ROWETT,TOM,LOCAL AND REGIONAL COUNCILLOR,,,,NO
Durham R,DREW,BOBBI,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Durham R,O'CONNOR,GERRI LYNN,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Durham R,BALLINGER,JACK,LOCAL AND REGIONAL COUNCILLOR,,,,YES
East Garafraxa Tp,GARDHOUSE,GUY,MAYOR,,,ACCLAIMED,YES
East Garafraxa Tp,STIRK,JOHN,DEPUTY MAYOR,,,ACCLAIMED,YES
East Garafraxa Tp,NEVILLS,TOM,LOCAL COUNCILLOR,498,"1,836",ELECTED,NO
East Garafraxa Tp,PINKNEY,FRAN,LOCAL COUNCILLOR,462,"1,836",ELECTED,YES
East Garafraxa Tp,BANFIELD,LENORA,LOCAL COUNCILLOR,415,"1,836",ELECTED,YES
East Gwillimbury T,HACKSON,VIRGINIA,MAYOR,"4,069","6,965",ELECTED,YES
East Gwillimbury T,YOUNG,JAMES R.,LOCAL COUNCILLOR,"3,879","24,294",ELECTED,NO
East Gwillimbury T,ROY-DICLEMENTE,TARA,LOCAL COUNCILLOR,"3,261","24,294",ELECTED,YES
East Gwillimbury T,JOHNSTON,MARLENE,LOCAL COUNCILLOR,"3,237","24,294",ELECTED,YES
East Gwillimbury T,PERSECHINI,JOE,LOCAL COUNCILLOR,"2,784","24,294",ELECTED,YES
Essa Tp,DOWDALL,TERRY,MAYOR,"2,453","3,838",ELECTED,YES
Essa Tp,MACDONALD,SANDIE,DEPUTY MAYOR,,,ACCLAIMED,YES
Essa Tp,WHITE,KEITH,LOCAL COUNCILLOR,"1,198","1,742",ELECTED,YES
Essa Tp,SMITH,MICHAEL,LOCAL COUNCILLOR,621,"1,097",ELECTED,YES
Essa Tp,HENDERSON,RON,LOCAL COUNCILLOR,515,951,ELECTED,YES
Fort Erie T,REDEKOP,WAYNE,MAYOR,"5,329","10,525",ELECTED,NO
Fort Erie T,MCDERMOTT,GEORGE,LOCAL COUNCILLOR,484,"1,496",ELECTED,NO
Fort Erie T,SHULAR,RICK,LOCAL COUNCILLOR,"1,241","1,749",ELECTED,YES
Fort Erie T,ZANKO,KIMBERLY,LOCAL COUNCILLOR,"1,265","1,933",ELECTED,NO
Fort Erie T,BUTLER,MARINA,LOCAL COUNCILLOR,"1,292","1,883",ELECTED,NO
Fort Erie T,LUBBERTS,DON,LOCAL COUNCILLOR,612,"1,602",ELECTED,YES
Fort Erie T,KNUTT,CHRIS,LOCAL COUNCILLOR,657,"1,637",ELECTED,NO
Georgian Bay Tp,BRAID,LARRY,MAYOR,"1,956","4,032",ELECTED,YES
Georgian Bay Tp,DOUGLAS,CYNTHIA,LOCAL COUNCILLOR,592,"1,100",ELECTED,NO
Georgian Bay Tp,EDWARDS,PAT,LOCAL COUNCILLOR,414,676,ELECTED,YES
Georgian Bay Tp,BOCHEK,BRIAN,LOCAL COUNCILLOR,650,"1,443",ELECTED,NO
Georgian Bay Tp,KAY,KATHY,LOCAL COUNCILLOR,467,813,ELECTED,NO
Georgian Bay Tp,COOPER,PETER,LOCAL AND DISTRICT COUNCILLOR,737,"1,489",ELECTED,NO
Georgian Bay Tp,WIANCKO,PAUL,LOCAL AND DISTRICT COUNCILLOR,,,ACCLAIMED,YES
Georgina T,(JORDAN)QUIRK,MARGARET,MAYOR,"7,226","12,211",ELECTED,NO
Georgina T,WHEELER,DANNY,REGIONAL COUNCILLOR,,,ACCLAIMED,YES
Georgina T,DAVISON,NAOMI,LOCAL COUNCILLOR,"2,239","3,011",ELECTED,YES
Georgina T,FELLINI,DANNY,LOCAL COUNCILLOR,"2,268","2,918",ELECTED,NO
Georgina T,NEESON,DAVE,LOCAL COUNCILLOR,946,"1,955",ELECTED,NO
Georgina T,SEBO,FRANK A,LOCAL COUNCILLOR,776,"2,414",ELECTED,NO
Georgina T,HARDING ,DAVID A.,LOCAL COUNCILLOR,883,"1,734",ELECTED,NO
Grand Valley T,SOLOMAN,STEVE,MAYOR,807,979,ELECTED,YES
Grand Valley T,TAYLOR,RICK,DEPUTY MAYOR,453,971,ELECTED,YES
Grand Valley T,INCE,JOHN,LOCAL COUNCILLOR,555,"2,542",ELECTED,NO
Grand Valley T,RENTSCH,PHILIP,LOCAL COUNCILLOR,523,"2,542",ELECTED,NO
Grand Valley T,TAYLOR,ELIZABETH,LOCAL COUNCILLOR,490,"2,542",ELECTED,YES
Gravenhurst T,DONALDSON,PAISLEY,MAYOR,"3,803","4,740",ELECTED,YES
Gravenhurst T,CAIRNS,SANDY,LOCAL AND DISTRICT COUNCILLOR,"2,372","11,555",ELECTED,YES
Gravenhurst T,KELLY,PAUL,LOCAL AND DISTRICT COUNCILLOR,"2,499","11,555",ELECTED,NO
Gravenhurst T,PILGER,TERRY,LOCAL AND DISTRICT COUNCILLOR,"2,140","11,555",ELECTED,NO
Gravenhurst T,LORENZ,HEIDI,LOCAL COUNCILLOR,932,"1,410",ELECTED,YES
Gravenhurst T,EITER,ERIN,LOCAL COUNCILLOR,438,638,ELECTED,NO
Gravenhurst T,CALHOUN,BOB,LOCAL COUNCILLOR,623,967,ELECTED,YES
Gravenhurst T,JORGENSEN,RANDY,LOCAL COUNCILLOR,523,665,ELECTED,YES
Gravenhurst T,WATSON,JEFF,LOCAL COUNCILLOR,551,"1,023",ELECTED,YES
Grimsby T,BENTLEY,BOB,MAYOR,"4,018","8,254",ELECTED,YES
Grimsby T,BERRY,STEVE,LOCAL COUNCILLOR,"1,233","3,371",ELECTED,YES
Grimsby T,WILSON,DAVE,LOCAL COUNCILLOR,"1,036","3,371",ELECTED,YES
Grimsby T,KADWELL,DAVE,LOCAL COUNCILLOR,"1,546","3,632",ELECTED,YES
Grimsby T,SEABORN,MICHELL,LOCAL COUNCILLOR,"1,328","3,632",ELECTED,YES
Grimsby T,DUNSTALL,JOHN,LOCAL COUNCILLOR,"1,185","3,372",ELECTED,NO
Grimsby T,JOHNSTON,JOANNE,LOCAL COUNCILLOR,876,"3,372",ELECTED,YES
Grimsby T,DIFLAVIO,NICK,LOCAL COUNCILLOR,"1,129","2,931",ELECTED,YES
Grimsby T,MULLINS,CAROLYN,LOCAL COUNCILLOR,842,"2,931",ELECTED,YES
Halton Hills T,BONNETTE,RICK,MAYOR,"12,253","14,036",ELECTED,YES
Halton Hills T,FOGAL,JANE,LOCAL AND REGIONAL COUNCILLOR,"4,811","8,417",ELECTED,YES
Halton Hills T,SOMERVILLE,CLARK,LOCAL AND REGIONAL COUNCILLOR,,,ACCLAIMED,YES
Halton Hills T,HURST,JON,LOCAL COUNCILLOR,"1,659","4,275",ELECTED,YES
Halton Hills T,O'LEARY,MIKE,LOCAL COUNCILLOR,"1,315","4,275",ELECTED,YES
Halton Hills T,BROWN,TED,LOCAL COUNCILLOR,"1,590","4,340",ELECTED,YES
Halton Hills T,LEWIS,BRYAN,LOCAL COUNCILLOR,"1,387","4,340",ELECTED,YES
Halton Hills T,JOHNSON,MOYA,LOCAL COUNCILLOR,"2,383","7,115",ELECTED,YES
Halton Hills T,KENTNER,DAVE,LOCAL COUNCILLOR,"2,294","7,115",ELECTED,YES
Halton Hills T,INGLIS,BOB,LOCAL COUNCILLOR,"2,765","7,189",ELECTED,YES
Halton Hills T,LAWLOR,ANN,LOCAL COUNCILLOR,"2,433","7,189",ELECTED,YES
Halton R,CARR,GARY,REGIONAL CHAIR,"84,348","108,758",ELECTED,YES
Halton R,O'MEARA,SEAN,LOCAL AND REGIONAL COUNCILLOR,,,,NO
Halton R,DUDDECK,CATHY,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Halton R,GITTINGS,DAVE,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Halton R,ELGAR,ALAN,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Halton R,KNOLL,JEFF,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Halton R,BURTON,ROB,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Halton R,GOLDRING,RICK,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Halton R,CRAVEN,RICK,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Halton R,MEED WARD,MARIANNE,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Halton R,TAYLOR,JOHN,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Halton R,DENNISON,JACK,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Halton R,SHARMAN,PAUL,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Halton R,LANCASTER,BLAIR,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Halton R,KRANTZ,GORD,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Halton R,CLUETT,MIKE,LOCAL AND REGIONAL COUNCILLOR,,,,NO
Halton R,BEST,COLIN,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Halton R,BONNETTE,RICK,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Halton R,FOGAL,JANE,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Halton R,SOMERVILLE,CLARK,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Halton R,ADAMS,TOM,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Hamilton C,EISENBERGER,FRED,MAYOR,"49,020","122,756",ELECTED,NO
Hamilton C,JOHNSON,AIDAN,DISTRICT COUNCILLOR,"3,030","8,735",ELECTED,NO
Hamilton C,FARR,JASON,DISTRICT COUNCILLOR,"4,078","6,146",ELECTED,YES
Hamilton C,GREEN,MATTHEW,DISTRICT COUNCILLOR,"2,852","7,004",ELECTED,NO
Hamilton C,MERULLA,SAM,DISTRICT COUNCILLOR,"5,654","6,854",ELECTED,YES
Hamilton C,COLLINS,CHAD,DISTRICT COUNCILLOR,"6,138","8,575",ELECTED,YES
Hamilton C,JACKSON,TOM,DISTRICT COUNCILLOR,"7,886","9,756",ELECTED,YES
Hamilton C,DUVALL,SCOTT,DISTRICT COUNCILLOR,"9,956","12,583",ELECTED,YES
Hamilton C,WHITEHEAD,TERRY,DISTRICT COUNCILLOR,"9,364","12,234",ELECTED,YES
Hamilton C,CONLEY,DOUG,DISTRICT COUNCILLOR,"1,750","6,686",ELECTED,NO
Hamilton C,PEARSON,MARIA,DISTRICT COUNCILLOR,"4,090","7,048",ELECTED,YES
Hamilton C,JOHNSON,BRENDA,DISTRICT COUNCILLOR,"7,873","9,434",ELECTED,YES
Hamilton C,FERGUSON,LLOYD,DISTRICT COUNCILLOR,"7,313","9,286",ELECTED,YES
Hamilton C,VANDERBEEK,ARLENE,DISTRICT COUNCILLOR,"3,468","8,149",ELECTED,NO
Hamilton C,PASUTA,ROBERT,DISTRICT COUNCILLOR,"3,451","4,042",ELECTED,YES
Hamilton C,PARTRIDGE,JUDI,DISTRICT COUNCILLOR,"3,879","5,603",ELECTED,YES
Huntsville T,AITCHISON,SCOTT,MAYOR,"3,708","8,170",ELECTED,YES
Huntsville T,ALCOCK,NANCY,LOCAL AND DISTRICT COUNCILLOR,"4,082","18,650",ELECTED,NO
Huntsville T,TERZIANO,KARIN,LOCAL AND DISTRICT COUNCILLOR,"5,884","18,650",ELECTED,YES
Huntsville T,THOMPSON,BRIAN,LOCAL AND DISTRICT COUNCILLOR,"4,916","18,650",ELECTED,YES
Huntsville T,STONE,BOB,LOCAL COUNCILLOR,846,"1,118",ELECTED,NO
Huntsville T,WIEBE,JONATHAN,LOCAL COUNCILLOR,"2,039","3,288",ELECTED,NO
Huntsville T,SCHUMACHER,DET,LOCAL COUNCILLOR,920,"3,238",ELECTED,YES
Huntsville T,ZANETTI,CHRIS,LOCAL COUNCILLOR,884,"3,238",ELECTED,YES
Huntsville T,ARMOUR,DAN,LOCAL COUNCILLOR,917,"1,595",ELECTED,NO
Innisfil T,WAUCHOPE,GORD,MAYOR,"5,003","10,379",ELECTED,NO
Innisfil T,DOLLIN,LYNN,DEPUTY MAYOR,"5,239","10,152",ELECTED,YES
Innisfil T,LOUGHEED,DOUG,LOCAL COUNCILLOR,"1,041","1,249",ELECTED,YES
Innisfil T,SIMPSON,RICHARD,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES
Innisfil T,ORSATTI,DONNA,LOCAL COUNCILLOR,932,"1,839",ELECTED,NO
